kind,rank,id,model,vendor,tier,bus,class
display,34,ssd1675,SSD1675,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1675
display,35,ssd1680,SSD1680,Solomon Systech,driver_compatible,spi,ExternalComponents.Generated.Display_SSD1680
display,36,ssd1681,SSD1681,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1681
display,37,ssd1683,SSD1683,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1683
display,38,ssd1687,SSD1687,Solomon Systech,profiled_behavioral,spi,ExternalComponents.Generated.Display_SSD1687
display,39,uc8151,UC8151,UltraChip,driver_compatible,spi,ExternalComponents.Generated.Display_UC8151
display,40,uc8159,UC8159,UltraChip,profiled_behavioral,spi,ExternalComponents.Generated.Display_UC8159
display,41,uc8176,UC8176,UltraChip,profiled_behavioral,spi,ExternalComponents.Generated.Display_UC8176
display,42,uc8179,UC8179,UltraChip,profiled_behavioral,spi,ExternalComponents.Generated.Display_UC8179
display,43,jd79653,JD79653,Jadard,profiled_behavioral,spi,ExternalComponents.Generated.Display_JD79653
display,44,gd7965,GD7965,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GD7965
display,45,gdeh0154d67,GDEH0154D67,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEH0154D67
display,46,gdeh0213b72,GDEH0213B72,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEH0213B72
display,47,gdew027w3,GDEW027W3,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEW027W3
display,48,gdew029t5,GDEW029T5,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEW029T5
display,49,gdew042t2,GDEW042T2,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEW042T2
display,50,gdew075t7,GDEW075T7,Good Display,profiled_behavioral,spi,ExternalComponents.Generated.Display_GDEW075T7
display,51,st7735,ST7735,Sitronix,driver_compatible,spi,ExternalComponents.Generated.Display_ST7735
display,52,st7735s,ST7735S,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST7735S
display,53,st7789,ST7789,Sitronix,driver_compatible,spi,ExternalComponents.Generated.Display_ST7789
display,54,st7789v,ST7789V,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST7789V
display,55,st7796s,ST7796S,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST7796S
display,56,st77903,ST77903,Sitronix,profiled_behavioral,spi,ExternalComponents.Generated.Display_ST77903
display,57,ili9163,ILI9163,Ilitek,profiled_behavioral,spi,ExternalComponents.Generated.Display_ILI9163
display,58,ili9225,ILI9225,Ilitek,profiled_behavioral,spi,ExternalComponents.Generated.Display_ILI9225
display,59,ili9325,ILI9325,Ilitek,profiled_behavioral,parallel,ExternalComponents.Generated.Display_ILI9325
display,60,ili9340,ILI9340,Ilitek,profiled_behavioral,spi,ExternalComponents.Generated.Display_ILI9340
display,61,ili9341,ILI9341,Ilitek,driver_compatible,spi,ExternalComponents.Generated.Display_ILI9341
display,62,ili9481,ILI9481,Ilitek,profiled_behavioral,parallel,ExternalComponents.Generated.Display_ILI9481
display,63,ili9486,ILI9486,Ilitek,profiled_behavioral,spi,ExternalComponents.Generated.Display_ILI9486
display,64,ili9488,ILI9488,Ilitek,driver_compatible,spi,ExternalComponents.Generated.Display_ILI9488
display,65,hx8347d,HX8347D,Himax,profiled_behavioral,parallel,ExternalComponents.Generated.Display_HX8347D
display,66,hx8352,HX8352,Himax,profiled_behavioral,parallel,ExternalComponents.Generated.Display_HX8352
display,67,hx8357d,HX8357D,Himax,profiled_behavioral,spi,ExternalComponents.Generated.Display_HX8357D
display,68,gc9a01,GC9A01,GalaxyCore,driver_compatible,spi,ExternalComponents.Generated.Display_GC9A01
display,69,gc9106,GC9106,GalaxyCore,profiled_behavioral,spi,ExternalComponents.Generated.Display_GC9106
display,70,gc9307,GC9307,GalaxyCore,profiled_behavioral,spi,ExternalComponents.Generated.Display_GC9307
display,71,gc9503,GC9503,GalaxyCore,profiled_behavioral,parallel,ExternalComponents.Generated.Display_GC9503
display,72,rm67162,RM67162,Raydium,profiled_behavioral,spi,ExternalComponents.Generated.Display_RM67162
display,73,rm690b0,RM690B0,Raydium,profiled_behavioral,qspi,ExternalComponents.Generated.Display_RM690B0
display,74,nv3041a,NV3041A,NewVision,profiled_behavioral,spi,ExternalComponents.Generated.Display_NV3041A
display,75,nt35510,NT35510,Novatek,profiled_behavioral,parallel,ExternalComponents.Generated.Display_NT35510
display,76,otm8009a,OTM8009A,Orise,profiled_behavioral,dsi,ExternalComponents.Generated.Display_OTM8009A
display,77,r61581,R61581,Renesas,profiled_behavioral,parallel,ExternalComponents.Generated.Display_R61581
display,78,r61529,R61529,Renesas,profiled_behavioral,parallel,ExternalComponents.Generated.Display_R61529
display,79,ra8875,RA8875,RAiO,driver_compatible,spi,ExternalComponents.Generated.Display_RA8875
display,80,ra8876,RA8876,RAiO,profiled_behavioral,spi,ExternalComponents.Generated.Display_RA8876
display,81,ft800,FT800,Bridgetek,driver_compatible,spi,ExternalComponents.Generated.Display_FT800
display,82,ft801,FT801,Bridgetek,profiled_behavioral,spi,ExternalComponents.Generated.Display_FT801
display,83,ft810,FT810,Bridgetek,profiled_behavioral,spi,ExternalComponents.Generated.Display_FT810
display,84,ft811,FT811,Bridgetek,profiled_behavioral,spi,ExternalComponents.Generated.Display_FT811
display,85,ft812,FT812,Bridgetek,profiled_behavioral,spi,ExternalComponents.Generated.Display_FT812
display,86,ft813,FT813,Bridgetek,profiled_behavioral,spi,ExternalComponents.Generated.Display_FT813
display,87,hd44780,HD44780,Hitachi,driver_compatible,parallel,ExternalComponents.Generated.Display_HD44780
display,88,ks0066,KS0066,Samsung,profiled_behavioral,parallel,ExternalComponents.Generated.Display_KS0066
display,89,st7066u,ST7066U,Sitronix,profiled_behavioral,parallel,ExternalComponents.Generated.Display_ST7066U
display,90,aip31068,AIP31068,AiP,profiled_behavioral,i2c,ExternalComponents.Generated.Display_AIP31068
display,91,st7032,ST7032,Sitronix,profiled_behavioral,i2c,ExternalComponents.Generated.Display_ST7032
display,92,st7036,ST7036,Sitronix,profiled_behavioral,i2c,ExternalComponents.Generated.Display_ST7036
display,93,pcf2119,PCF2119,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Display_PCF2119
display,94,ht16k33,HT16K33,Holtek,driver_compatible,i2c,ExternalComponents.Generated.Display_HT16K33
display,95,max7219,MAX7219,Analog Devices,driver_compatible,spi,ExternalComponents.Generated.Display_MAX7219
display,96,is31fl3731,IS31FL3731,Lumissil,driver_compatible,i2c,ExternalComponents.Generated.Display_IS31FL3731
display,97,is31fl3741,IS31FL3741,Lumissil,profiled_behavioral,i2c,ExternalComponents.Generated.Display_IS31FL3741
display,98,hub75,HUB75,Various,profiled_behavioral,parallel,ExternalComponents.Generated.Display_HUB75
display,99,tm1637,TM1637,Titan Micro,profiled_behavioral,gpio_serial,ExternalComponents.Generated.Display_TM1637
display,100,tm1638,TM1638,Titan Micro,profiled_behavioral,gpio_serial,ExternalComponents.Generated.Display_TM1638
sensor,1,bme280,BME280,Bosch,driver_compatible,i2c+spi,ExternalComponents.Generated.Sensor_BME280
sensor,2,bme680,BME680,Bosch,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_BME680
sensor,3,bme688,BME688,Bosch,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_BME688
sensor,4,bmp180,BMP180,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMP180
sensor,5,bmp280,BMP280,Bosch,driver_compatible,i2c+spi,ExternalComponents.Generated.Sensor_BMP280
sensor,6,bmp388,BMP388,Bosch,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_BMP388
sensor,7,bmp390,BMP390,Bosch,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_BMP390
sensor,8,bmp581,BMP581,Bosch,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_BMP581
sensor,9,dps310,DPS310,Infineon,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_DPS310
sensor,10,lps22hb,LPS22HB,STMicroelectronics,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_LPS22HB
sensor,11,lps22hh,LPS22HH,STMicroelectronics,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_LPS22HH
sensor,12,lps25hb,LPS25HB,STMicroelectronics,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_LPS25HB
sensor,13,lps28dfw,LPS28DFW,STMicroelectronics,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_LPS28DFW
sensor,14,ms5611,MS5611,TE Connectivity,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_MS5611
sensor,15,ms5607,MS5607,TE Connectivity,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_MS5607
sensor,16,mpl3115a2,MPL3115A2,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MPL3115A2
sensor,17,icp10100,ICP10100,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICP10100
sensor,18,icp10111,ICP10111,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICP10111
sensor,19,icp20100,ICP20100,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICP20100
sensor,20,mprls0025pa,MPRLS0025PA,Honeywell,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MPRLS0025PA
sensor,21,sht20,SHT20,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT20
sensor,22,sht21,SHT21,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT21
sensor,23,sht30,SHT30,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT30
sensor,24,sht31,SHT31,Sensirion,driver_compatible,i2c,ExternalComponents.Generated.Sensor_SHT31
sensor,25,sht35,SHT35,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT35
sensor,26,sht40,SHT40,Sensirion,driver_compatible,i2c,ExternalComponents.Generated.Sensor_SHT40
sensor,27,sht41,SHT41,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT41
sensor,28,sht45,SHT45,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHT45
sensor,29,shtc3,SHTC3,Sensirion,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SHTC3
sensor,30,hdc1080,HDC1080,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_HDC1080
sensor,31,hdc2010,HDC2010,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_HDC2010
sensor,32,hdc2080,HDC2080,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_HDC2080
sensor,33,hdc3020,HDC3020,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_HDC3020
sensor,34,aht20,AHT20,ASAIR,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AHT20
sensor,35,si7021,SI7021,Silicon Labs,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SI7021
sensor,36,adxl345,ADXL345,Analog Devices,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_ADXL345
sensor,37,adxl343,ADXL343,Analog Devices,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_ADXL343
sensor,38,adxl355,ADXL355,Analog Devices,profiled_behavioral,spi,ExternalComponents.Generated.Sensor_ADXL355
sensor,39,adxl357,ADXL357,Analog Devices,profiled_behavioral,spi,ExternalComponents.Generated.Sensor_ADXL357
sensor,40,adxl362,ADXL362,Analog Devices,profiled_behavioral,spi,ExternalComponents.Generated.Sensor_ADXL362
sensor,41,adxl367,ADXL367,Analog Devices,profiled_behavioral,spi,ExternalComponents.Generated.Sensor_ADXL367
sensor,42,adxl372,ADXL372,Analog Devices,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_ADXL372
sensor,43,lis2dh12,LIS2DH12,STMicroelectronics,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_LIS2DH12
sensor,44,lis3dh,LIS3DH,STMicroelectronics,driver_compatible,i2c+spi,ExternalComponents.Generated.Sensor_LIS3DH
sensor,45,lis2dw12,LIS2DW12,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS2DW12
sensor,46,lis2dtw12,LIS2DTW12,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS2DTW12
sensor,47,lis2du12,LIS2DU12,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS2DU12
sensor,48,lis2dux12,LIS2DUX12,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS2DUX12
sensor,49,lis331dlh,LIS331DLH,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS331DLH
sensor,50,lsm303agr,LSM303AGR,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM303AGR
sensor,51,lsm303dlhc,LSM303DLHC,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM303DLHC
sensor,52,lsm303d,LSM303D,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM303D
sensor,53,lsm6ds3,LSM6DS3,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DS3
sensor,54,lsm6dsl,LSM6DSL,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DSL
sensor,55,lsm6dso,LSM6DSO,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DSO
sensor,56,lsm6dsox,LSM6DSOX,STMicroelectronics,driver_compatible,i2c+spi,ExternalComponents.Generated.Sensor_LSM6DSOX
sensor,57,lsm6dsr,LSM6DSR,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DSR
sensor,58,lsm6dsv16x,LSM6DSV16X,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DSV16X
sensor,59,lsm6dsv32x,LSM6DSV32X,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LSM6DSV32X
sensor,60,ism330dhcx,ISM330DHCX,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ISM330DHCX
sensor,61,asm330lhh,ASM330LHH,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ASM330LHH
sensor,62,bmi160,BMI160,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMI160
sensor,63,bmi270,BMI270,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMI270
sensor,64,bmi323,BMI323,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMI323
sensor,65,bmi088,BMI088,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMI088
sensor,66,bma220,BMA220,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMA220
sensor,67,bma250,BMA250,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMA250
sensor,68,bma280,BMA280,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMA280
sensor,69,bma400,BMA400,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMA400
sensor,70,bma456,BMA456,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMA456
sensor,71,mpu6050,MPU6050,TDK InvenSense,driver_compatible,i2c,ExternalComponents.Generated.Sensor_MPU6050
sensor,72,mpu6500,MPU6500,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MPU6500
sensor,73,mpu6886,MPU6886,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MPU6886
sensor,74,mpu9250,MPU9250,TDK InvenSense,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_MPU9250
sensor,75,icm20602,ICM20602,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM20602
sensor,76,icm20649,ICM20649,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM20649
sensor,77,icm20948,ICM20948,TDK InvenSense,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_ICM20948
sensor,78,icm42605,ICM42605,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM42605
sensor,79,icm42670,ICM42670,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM42670
sensor,80,icm42688,ICM42688,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM42688
sensor,81,icm45686,ICM45686,TDK InvenSense,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ICM45686
sensor,82,bno055,BNO055,Various,driver_compatible,i2c+uart,ExternalComponents.Generated.Sensor_BNO055
sensor,83,bno080,BNO080,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BNO080
sensor,84,bno085,BNO085,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BNO085
sensor,85,fxas21002c,FXAS21002C,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_FXAS21002C
sensor,86,fxos8700,FXOS8700,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_FXOS8700
sensor,87,mma8451q,MMA8451Q,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MMA8451Q
sensor,88,kx022,KX022,Kionix,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_KX022
sensor,89,kx132,KX132,Kionix,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_KX132
sensor,90,iis3dwb,IIS3DWB,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_IIS3DWB
sensor,91,hmc5883l,HMC5883L,Honeywell,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_HMC5883L
sensor,92,qmc5883l,QMC5883L,QST,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_QMC5883L
sensor,93,lis3mdl,LIS3MDL,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS3MDL
sensor,94,mmc5603nj,MMC5603NJ,MEMSIC,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MMC5603NJ
sensor,95,mmc5983ma,MMC5983MA,MEMSIC,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_MMC5983MA
sensor,96,ak8963,AK8963,Asahi Kasei,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AK8963
sensor,97,ak09916,AK09916,Asahi Kasei,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AK09916
sensor,98,ak09918,AK09918,Asahi Kasei,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AK09918
sensor,99,bmm150,BMM150,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMM150
sensor,100,bmm350,BMM350,Bosch,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BMM350
sensor,101,mag3110,MAG3110,NXP,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_MAG3110
sensor,102,rm3100,RM3100,Various,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_RM3100
sensor,103,mlx90393,MLX90393,Melexis,profiled_behavioral,i2c+spi,ExternalComponents.Generated.Sensor_MLX90393
sensor,104,tlv493d,TLV493D,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TLV493D
sensor,105,lis2mdl,LIS2MDL,STMicroelectronics,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LIS2MDL
sensor,106,bh1750,BH1750,ROHM,driver_compatible,i2c,ExternalComponents.Generated.Sensor_BH1750
sensor,107,bh1730,BH1730,ROHM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_BH1730
sensor,108,veml7700,VEML7700,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VEML7700
sensor,109,veml6030,VEML6030,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VEML6030
sensor,110,veml6035,VEML6035,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VEML6035
sensor,111,veml6040,VEML6040,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VEML6040
sensor,112,tsl2561,TSL2561,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TSL2561
sensor,113,tsl2591,TSL2591,Various,driver_compatible,i2c,ExternalComponents.Generated.Sensor_TSL2591
sensor,114,tsl2572,TSL2572,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TSL2572
sensor,115,opt3001,OPT3001,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_OPT3001
sensor,116,opt3002,OPT3002,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_OPT3002
sensor,117,opt4001,OPT4001,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_OPT4001
sensor,118,opt4048,OPT4048,Texas Instruments,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_OPT4048
sensor,119,ltr303,LTR303,Lite-On,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LTR303
sensor,120,ltr329,LTR329,Lite-On,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LTR329
sensor,121,ltr390,LTR390,Lite-On,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LTR390
sensor,122,ltr507,LTR507,Lite-On,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LTR507
sensor,123,ltr559,LTR559,Lite-On,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_LTR559
sensor,124,apds9301,APDS9301,Broadcom,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_APDS9301
sensor,125,apds9306,APDS9306,Broadcom,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_APDS9306
sensor,126,apds9930,APDS9930,Broadcom,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_APDS9930
sensor,127,apds9960,APDS9960,Broadcom,driver_compatible,i2c,ExternalComponents.Generated.Sensor_APDS9960
sensor,128,vcnl4010,VCNL4010,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VCNL4010
sensor,129,vcnl4040,VCNL4040,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VCNL4040
sensor,130,vcnl4200,VCNL4200,Vishay,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_VCNL4200
sensor,131,isl29125,ISL29125,Various,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_ISL29125
sensor,132,tcs34725,TCS34725,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TCS34725
sensor,133,tcs3400,TCS3400,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TCS3400
sensor,134,tcs3430,TCS3430,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_TCS3430
sensor,135,as7341,AS7341,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AS7341
sensor,136,as7262,AS7262,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AS7262
sensor,137,as7263,AS7263,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AS7263
sensor,138,as7265x,AS7265X,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AS7265X
sensor,139,as7331,AS7331,ams OSRAM,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_AS7331
sensor,140,si1145,SI1145,Silicon Labs,profiled_behavioral,i2c,ExternalComponents.Generated.Sensor_SI1145
